,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,lyric
0,tim mcgraw,Taylor Swift,Taylor Swift,10/24/06,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462,0.0251,0.425,76.009,"He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""That's a lie"" Just a boy in a Chevy truck That had a tendency of gettin' stuck On back roads at night And I was right there beside him all summer long And then the time we woke up to find that summer gone But when you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me September saw a month of tears And thankin' God that you weren't here To see me like that But in a box beneath my bed Is a letter that you never read From three summers back It's hard not to find it all a little bittersweet And lookin' back on all of that, it's nice to believe When you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me And I'm back for the first time since then I'm standin' on your street And there's a letter left on your doorstep And the first thing that you'll read is: ""When you think Tim McGraw I hope you think my favorite song Someday you'll turn your radio on I hope it takes you back to that place"" When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me Oh, think of me Mmmm He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""That's a lie"""
1,picture to burn,Taylor Swift,Taylor Swift,10/24/06,173066,54,0.658,0.173,0.877,0.0,0.0962,-2.098,0.0323,0.821,105.586,"State the obvious, I didn't get my perfect fantasy I realize you love yourself more than you could ever love me So go and tell your friends that I'm obsessive and crazy That's fine I'll tell mine that you're gay! By the way... I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn! There's no time for tears I'm just sitting here planning my revenge There's nothing stopping me From going out with all of your best friends And if you come around saying sorry to me My daddy's gonna show you how sorry you'll be 'Cause I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn! And if you're missing me You'd better keep it to yourself 'Cause coming back around here Would be bad for your health... 'Cause I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time In case you haven't heard I really really hate that... Stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn! Burn, burn, burn, baby, burn You're just another picture to burn Baby, burn..."
2,teardrops on my guitar ,Taylor Swift,Taylor Swift,10/24/06,203040,59,0.621,0.288,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,"Drew looks at me I fake a smile so he won't see What I want and I need And everything that we should be I'll bet she's beautiful That girl he talks about And she's got everything That I have to live without Drew talks to me I laugh 'cause it's just so funny But I can't even see Anyone when he's with me He says he's so in love He's finally got it right I wonder if he knows He's all I think about at night He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do Drew walks by me Can he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be She better hold him tight Give him all her love Look in those beautiful eyes And know she's lucky 'cause He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do So I drive home alone As I turn out the light I'll put his picture down And maybe get some sleep tonight 'Cause he's the reason for the teardrops on my guitar The only one who's got enough of me to break my heart He's the song in the car I keep singing Don't know why I do He's the time taken up, but there's never enough And he's all that I need to fall into Drew looks at me I fake a smile so he won't see"
3,teardrops on my guitar ,Taylor Swift,Taylor Swift,10/24/06,179066,48,0.459,0.0402,0.753,0.0,0.0863,-3.827,0.0537,0.483,199.997,"Drew looks at me I fake a smile so he won't see What I want and I need And everything that we should be I'll bet she's beautiful That girl he talks about And she's got everything That I have to live without Drew talks to me I laugh 'cause it's just so funny But I can't even see Anyone when he's with me He says he's so in love He's finally got it right I wonder if he knows He's all I think about at night He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do Drew walks by me Can he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be She better hold him tight Give him all her love Look in those beautiful eyes And know she's lucky 'cause He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do So I drive home alone As I turn out the light I'll put his picture down And maybe get some sleep tonight 'Cause he's the reason for the teardrops on my guitar The only one who's got enough of me to break my heart He's the song in the car I keep singing Don't know why I do He's the time taken up, but there's never enough And he's all that I need to fall into Drew looks at me I fake a smile so he won't see"
4,a place in this world,Taylor Swift,Taylor Swift,10/24/06,199200,49,0.576,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028,"I don't know what I want, so don't ask me 'Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mystery, oh yeah But that's OK I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world Maybe I'm just a girl on a mission But I'm ready to fly I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know Oh I'm just a girl, trying to find a place in this world Oh I'm just a girl Oh I'm just a girl, oh, oh Oh I'm just a girl"
5,cold as you,Taylor Swift,Taylor Swift,10/24/06,239013,50,0.418,0.217,0.482,0.0,0.123,-5.769,0.0266,0.261,175.558,"You have a way of coming easily to me And when you take, you take the very best of me So I start a fight 'cause I need to feel something And you do what you want 'cause I'm not what you wanted Oh, what a shame, what a rainy ending given to a perfect day Just walk away, ain't no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you You put up walls and paint them all a shade of gray And I stood there loving you and wished them all away And you come away with a great little story Of a mess of a dreamer with the nerve to adore you Oh, what a shame, what a rainy ending given to a perfect day So just walk away, ain't no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you You never did give a damn thing, honey, but I cried, cried for you And I know you wouldn't have told nobody if I died, died for you, died for you Oh, what a shame, what a rainy ending given to a perfect day Every smile you fake is so condescending counting all the scars you made And now that I'm sitting here thinking it through I've never been anywhere cold as you"
6,the outside,Taylor Swift,Taylor Swift,10/24/06,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.982,"I didn't know what I would find When I went looking for a reason I know I didn't read between the lines And, baby, I've got nowhere to go I tried to take the road less traveled by But nothing seems to work the first few times Am I right? So how can I ever try to be better? Nobody ever lets me in I can still see you This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside You saw me there, but never knew That I would give it all up to be A part of this, a part of you And now it's all too late. So you see You could've helped if you had wanted to But no one notices until it's too late to do anything So how can I ever try to be better? Nobody ever lets me in I can still see you This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside Oh, yeah So how can I ever try to be better? Nobody ever lets me in And I can still see you This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside"
7,tied together with a smile,Taylor Swift,Taylor Swift,10/24/06,248106,47,0.479,0.525,0.578,0.0,0.0841,-4.963,0.0294,0.192,146.165,"Seems the only one who doesn't see your beauty Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true 'cause I know you Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone I guess it's true that love was all you wanted 'Cause you're giving it away like it's extra change Hoping it will end up in his pocket But he leaves you out like a penny in the rain Oh, 'cause it's not his price to pay It's not his price to pay Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone You're tied together with a smile But you're coming undone Goodbye, baby With a smile, baby, baby"
8,stay beautiful,Taylor Swift,Taylor Swift,10/24/06,236053,48,0.594,0.0868,0.629,0.0,0.137,-4.919,0.0246,0.504,131.597,"Cory's eyes are like a jungle He smiles, it's like the radio He whispers songs into my window In words that nobody knows There's pretty girls on every corner That watch him as he's walking home Saying, ""Does he know?"" Will you ever know? You're beautiful Every little piece love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't Stay beautiful Cory finds another way to be The highlight of my day I'm taking pictures in my mind So I can save them for a rainy day It's hard to make a conversation When he's taking my breath away I should say, hey, by the way You're beautiful Every little piece love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't Stay beautiful If you and I are a story That never gets told If what you are is a daydream I'll never get to hold At least you'll know You're beautiful Every little piece love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life leads you back to my front door Oh, but if it don't Will you stay Beautiful, beautiful, beautiful Beautiful, beautiful, beautiful? La la la Oh, oh, oh, oh Oh, but if it don't Stay beautiful Stay beautiful Na, na, na, na, na"
9,should've said no,Taylor Swift,Taylor Swift,10/24/06,242200,53,0.476,0.0103,0.777,0.0,0.196,-3.771,0.0289,0.472,167.964,"It's strange to think the songs we used to sing The smiles, the flowers, everything is gone Yesterday I found out about you Even now just looking at you feels wrong You say that you'd take it all back, given one chance It was a moment of weakness and you said, ""Yes."" You should've said ""No"", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"" You shouldn't be begging for forgiveness at my feet... You should've said ""No"", baby, and you might still have me You can see that I've been crying And baby, you know all the right things to say But do you honestly expect me to believe We could ever be the same? You say that the past is the past, you need one chance It was a moment of weakness and you said, ""Yes."" You should've said ""No"", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd, Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"" You shouldn't be begging for forgiveness at my feet... You should've said ""No"", baby, and you might still have me I can't resist Before you go, tell me this: Was it worth it? Was she worth this? No... no, no, no... You should've said ""No"", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd, Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"" You shouldn't be begging for forgiveness at my feet... You should've said ""No"", baby, and you might still have me"
